CPU Cores,Quicksort,Matrix Multiplication,Pandas Operations
1,0.024241209030151367,0.019054412841796875,0.0749812126159668
4,0.025272130966186523,0.02149510383605957,0.053997039794921875
8,0.03062152862548828,0.022293806076049805,0.051688194274902344
